"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1628","спр.Статусы Информации по авто > создание элемента","","Wed Nov 13 02:54:04 GMT 2024","passed","Wed Nov 13 02:54:06 GMT 2024","","спр.Статусы Информации по авто > создание элемента","",""
"","2035","док.Расход из кассы(подотчётнику) с контролем","","Wed Nov 13 02:34:05 GMT 2024","passed","Wed Nov 13 02:34:07 GMT 2024","","док.Расход из кассы(подотчётнику) с контролем","",""
"","9332","<описание сценария>","","Wed Nov 13 02:26:27 GMT 2024","failed","Wed Nov 13 02:26:36 GMT 2024","","Тест Конпки Создать рассылку отчётов","",""
"","9096","Док.расход со счёта форма списка, фильтрация","","Wed Nov 13 02:34:29 GMT 2024","failed","Wed Nov 13 02:34:38 GMT 2024","","Док.расход со счёта форма списка, фильтрация","",""
"","20994","открытие реестра через элемент справочника ИПА","","Wed Nov 13 02:25:17 GMT 2024","failed","Wed Nov 13 02:25:38 GMT 2024","","Справочник информация по авто > Форма элемента> ссылка на реестр","",""
"","5211","<описание сценария>","","Wed Nov 13 02:18:06 GMT 2024","failed","Wed Nov 13 02:18:11 GMT 2024","","Док. расходная Накладная >  кнопка Заполнить на основании","",""
"","4674","Создать элемент СПР.СВХ","","Wed Nov 13 02:53:46 GMT 2024","passed","Wed Nov 13 02:53:51 GMT 2024","","СПР.СВХ создание","",""
"","14231","Открываю","","Wed Nov 13 02:40:13 GMT 2024","failed","Wed Nov 13 02:40:27 GMT 2024","","открыть отчёт расчёты с персоналом, сформировать с разными настройками","",""
"","10190","<описание сценария>","","Wed Nov 13 02:48:29 GMT 2024","failed","Wed Nov 13 02:48:39 GMT 2024","","Тест создания элемента","",""
"","2531","тест Спр.Виды начислений и удержаний","","Wed Nov 13 02:23:20 GMT 2024","passed","Wed Nov 13 02:23:23 GMT 2024","","Спраочник Виды начислений и удержаний","",""
"","14305","Открытие элемента счёт на оплату, переход к кнопке изменить>  установить цены по виду","","Wed Nov 13 02:18:13 GMT 2024","failed","Wed Nov 13 02:18:27 GMT 2024","","док. Счёт на оплату> форма элемента> тест кнопок изменить","",""
"","14400","открытие док. декларация > создание элемента","","Wed Nov 13 02:31:31 GMT 2024","failed","Wed Nov 13 02:31:45 GMT 2024","","док.декларация> создание элемента","",""
"","15192","открыть групповое поступление, проверить кнопки подгруппы изменить","","Wed Nov 13 02:11:23 GMT 2024","failed","Wed Nov 13 02:11:38 GMT 2024","","док.Групповое поступление","",""
"","14310","<описание сценария>","","Wed Nov 13 02:16:17 GMT 2024","failed","Wed Nov 13 02:16:31 GMT 2024","","Док. Приходная накладная > Печать > Приходная накладная(в розничных ценах)","",""
"","9404","<описание сценария>","","Wed Nov 13 02:48:41 GMT 2024","failed","Wed Nov 13 02:48:50 GMT 2024","","спр.Грузополучатели > создать и заполнитьэлемент","",""
"","18996","Док.Заказ поставщику, создание элемента","","Wed Nov 13 02:09:36 GMT 2024","failed","Wed Nov 13 02:09:55 GMT 2024","","Док.Заказ поставщику","",""
"","7220","<описание сценария>","","Wed Nov 13 02:23:44 GMT 2024","failed","Wed Nov 13 02:23:51 GMT 2024","","Спр. Контрагенты> кнопка телефонный звонок","",""
"","73351","Создание статуса Авто","","Wed Nov 13 02:46:02 GMT 2024","failed","Wed Nov 13 02:47:15 GMT 2024","","Тест Конпки Создать рассылку отчётов","",""
"","9646","<описание сценария>","","Wed Nov 13 02:49:46 GMT 2024","failed","Wed Nov 13 02:49:55 GMT 2024","","спр.Марки ОУ создание","",""
"","10112","Док.Поступление на счёт форма списка, конпка сформировать отчет","","Wed Nov 13 02:12:07 GMT 2024","failed","Wed Nov 13 02:12:17 GMT 2024","","Док.Поступление на счёт форма списка","",""
"","14156","<описание сценария>","","Wed Nov 13 02:24:27 GMT 2024","failed","Wed Nov 13 02:24:41 GMT 2024","","Док. Реестры","",""
"","15249","","","Wed Nov 13 02:25:53 GMT 2024","failed","Wed Nov 13 02:26:08 GMT 2024","","Тест Кнопки Создать Вложение в Справочнике ОУ","",""
"","2579","Док. расходная накладная, тест на сложение сумм","","Wed Nov 13 02:34:13 GMT 2024","passed","Wed Nov 13 02:34:15 GMT 2024","","док. Расходная накладная тест на сложение сумм","",""
"","14263","<описание сценария>","","Wed Nov 13 02:17:37 GMT 2024","failed","Wed Nov 13 02:17:51 GMT 2024","","Док.Расходная накладная","",""
"","17298","Подсистема финансы> Денежные средства> Сформировать отчёт","","Wed Nov 13 02:45:14 GMT 2024","failed","Wed Nov 13 02:45:31 GMT 2024","","Отчёт Расход денег","",""
"","18331","Прикрепление фаила","","Wed Nov 13 02:20:35 GMT 2024","failed","Wed Nov 13 02:20:53 GMT 2024","","Элемент справочник информация по авто > кнопка Оплатить","",""
"","1228","<описание сценария>","","Wed Nov 13 02:37:42 GMT 2024","passed","Wed Nov 13 02:37:43 GMT 2024","","Отчёт ""Долги""","",""
"","4268","открыть спр.номенклатура, создать расходную накладную","","Wed Nov 13 02:24:00 GMT 2024","failed","Wed Nov 13 02:24:04 GMT 2024","","спр.Номенклатура > Создать расходную накладную","",""
"","6217","Открыть форму ""Ещё больше возможностей""","","Wed Nov 13 02:19:10 GMT 2024","failed","Wed Nov 13 02:19:16 GMT 2024","","Открыть форму ""Ещё больше возможностей""","",""
"","3949","<описание сценария>","","Wed Nov 13 02:49:32 GMT 2024","passed","Wed Nov 13 02:49:36 GMT 2024","","Спр.Классификаторы ТН Вэд, создание","",""
"","18210","<описание сценария>","","Wed Nov 13 02:20:15 GMT 2024","failed","Wed Nov 13 02:20:33 GMT 2024","","Тест Конпки отправить","",""
"","66066","<описание сценария>","","Wed Nov 13 02:54:21 GMT 2024","failed","Wed Nov 13 02:55:27 GMT 2024","","Тест всех кнопок вкладки Свойства Справочника ИПА","",""
"","11172","<описание сценария>","","Wed Nov 13 02:47:40 GMT 2024","failed","Wed Nov 13 02:47:51 GMT 2024","","Спр.Брокеры форма элемента","",""
"","8129","Обработка.Обмен с банком","","Wed Nov 13 02:22:04 GMT 2024","failed","Wed Nov 13 02:22:12 GMT 2024","","Обработка.Обмен с банком","",""
"","15266","Создание контрагента","","Wed Nov 13 02:26:52 GMT 2024","failed","Wed Nov 13 02:27:07 GMT 2024","","Создание Контрагента Через Информацию По Авто","",""
"","15166","<описание сценария>","","Wed Nov 13 02:26:10 GMT 2024","failed","Wed Nov 13 02:26:25 GMT 2024","","Тест Кнопки Создать ТС в Справочнике ОУ","",""
"","15294","Нажать кнопку перейти в декларацию в справ. ИПА","","Wed Nov 13 02:27:23 GMT 2024","failed","Wed Nov 13 02:27:38 GMT 2024","","спр.ИПА Кнопка перейти в декларацию","",""
"","75142","Нажимаю все кнопки вкладки фалиы","","Wed Nov 13 02:55:29 GMT 2024","failed","Wed Nov 13 02:56:44 GMT 2024","","Тест всех кнопок вкладки Фаилы Справочника ИПА","",""
"","14381","Открытиен элемента счёт на оплату, заполнение поля клиентянянян","","Wed Nov 13 02:18:35 GMT 2024","failed","Wed Nov 13 02:18:49 GMT 2024","","док. Счёт на оплату> форма элемента> заполнение поля клиент","",""
"","16086","Спр.Виды цен создать новый элемент","","Wed Nov 13 02:48:11 GMT 2024","failed","Wed Nov 13 02:48:27 GMT 2024","","Спр.Виды цен, создать","",""
"","9205","спр.Маршруты","","Wed Nov 13 02:49:57 GMT 2024","failed","Wed Nov 13 02:50:06 GMT 2024","","спр.Маршруты создание элемента","",""
"","31790","<описание сценария>","","Wed Nov 13 02:52:39 GMT 2024","failed","Wed Nov 13 02:53:10 GMT 2024","","Спр.реестры Форма элемента, печать","",""
"","9508","<описание сценария>","","Wed Nov 13 02:53:53 GMT 2024","failed","Wed Nov 13 02:54:02 GMT 2024","","<описание фичи>","",""
"","15885","открыть и создать элемент спра информации по авто","","Wed Nov 13 02:49:14 GMT 2024","failed","Wed Nov 13 02:49:30 GMT 2024","","спр.Виды информации по авто","",""
"","16154","спр.валюты > загрузить курсы","","Wed Nov 13 02:47:53 GMT 2024","failed","Wed Nov 13 02:48:09 GMT 2024","","Спр.Валюты","",""
"","15412","док.Счёт на оплату, форма элемента","","Wed Nov 13 02:28:34 GMT 2024","failed","Wed Nov 13 02:28:49 GMT 2024","","док.Счёт на оплату, форма элемента","",""
"","2026","Док.Поступление в кассу ввод ТЧ","","Wed Nov 13 02:33:12 GMT 2024","passed","Wed Nov 13 02:33:14 GMT 2024","","Док.Поступление в кассу","",""
"","9927","Док.возвраты покупателей, сложение сумм","","Wed Nov 13 02:30:45 GMT 2024","failed","Wed Nov 13 02:30:55 GMT 2024","","Док.возвраты покупателей","",""
"","5670","Док.Заказ покупателя, выбрать организацию","","Wed Nov 13 02:14:34 GMT 2024","failed","Wed Nov 13 02:14:39 GMT 2024","","Док.Заказ покупателя","",""
"","16817","Тест формирования отчёта ""Выпуски инпекторов""","","Wed Nov 13 02:37:23 GMT 2024","failed","Wed Nov 13 02:37:40 GMT 2024","","Тест ""Выпуски инпекторов"", открытие формы, кнопка сформировать, кнопка отправить","",""
"","12211","<описание сценария>","","Wed Nov 13 02:51:30 GMT 2024","failed","Wed Nov 13 02:51:42 GMT 2024","","Спр.ОУ тест поиска","",""
"","8259","Тест на изменение физлица","","Wed Nov 13 02:10:02 GMT 2024","failed","Wed Nov 13 02:10:10 GMT 2024","","Тест создания элемента справочника на авто с физлицом","",""
"","5003","<описание сценария>","","Wed Nov 13 02:30:57 GMT 2024","passed","Wed Nov 13 02:31:02 GMT 2024","","Докуменит.Выпуск ГДТ","",""
"","10012","Док.Поступление на счёт форма списка, фильтрация","","Wed Nov 13 02:33:16 GMT 2024","failed","Wed Nov 13 02:33:26 GMT 2024","","Док.Поступление на счёт форма списка","",""
"","11217","<описание сценария>","","Wed Nov 13 02:17:53 GMT 2024","failed","Wed Nov 13 02:18:04 GMT 2024","","Док.Заказы покупателей > Форма элемента > Возврат Поставщику","",""
"","18196","<описание сценария>","","Wed Nov 13 02:27:40 GMT 2024","failed","Wed Nov 13 02:27:58 GMT 2024","","Проверка подбора физ лица","",""
"","15996","<описание сценария>","","Wed Nov 13 02:37:02 GMT 2024","failed","Wed Nov 13 02:37:18 GMT 2024","","Отчёты (Вхаиморасчёты с клиентами)","",""
"","12157","<описание сценария>","","Wed Nov 13 02:26:38 GMT 2024","failed","Wed Nov 13 02:26:50 GMT 2024","","Тест всех кнопок вкладки Глонас/СБКТС Справочника ИПА","",""
"","5127","Док.Заказ покупателя, нажать  тч. установить цены по виду","","Wed Nov 13 02:14:55 GMT 2024","failed","Wed Nov 13 02:15:00 GMT 2024","","Док.Заказ покупателя","",""
"","9329","<описание сценария>","","Wed Nov 13 02:28:51 GMT 2024","failed","Wed Nov 13 02:29:00 GMT 2024","","Док.Список > Форма спискка","",""
"","8869","Создание заявки, проведение, отмена проведения","","Wed Nov 13 02:19:35 GMT 2024","failed","Wed Nov 13 02:19:44 GMT 2024","","Документы > Заявка сбктс > создание и заполнение","",""
"","11221","Захожу в спавочник ИПА, нажимаю кнопку выбора кузова","","Wed Nov 13 02:20:55 GMT 2024","failed","Wed Nov 13 02:21:06 GMT 2024","","Тест Кнопки выбора Кузова элемента справочника ИПА","",""
"","1325","<описание сценария>","","Wed Nov 13 02:13:01 GMT 2024","passed","Wed Nov 13 02:13:03 GMT 2024","","Док.БанкИКасса создание послепления в кассу","",""
"","7451","<описание сценария>","","Wed Nov 13 02:17:12 GMT 2024","failed","Wed Nov 13 02:17:19 GMT 2024","","Док.Расходная накладная Создать на основании","",""
"","5272","Док.Заказ покупателя, нажать печать","","Wed Nov 13 02:14:48 GMT 2024","failed","Wed Nov 13 02:14:53 GMT 2024","","Док.Заказ покупателя","",""
"","2034","подсисистема клиет > отчёты, Взаимозачёты","","Wed Nov 13 02:22:44 GMT 2024","passed","Wed Nov 13 02:22:46 GMT 2024","","подсисистема клиент > Отчёт Взаимозачёты","",""
"","14192","Открытие","","Wed Nov 13 02:34:40 GMT 2024","failed","Wed Nov 13 02:34:54 GMT 2024","","док. Счёт на оплату> форма элемента> тест кнопок изменить","",""
"","651","док.Документы по кадрам открытие формы","","Wed Nov 13 02:14:31 GMT 2024","failed","Wed Nov 13 02:14:32 GMT 2024","","док. Документы по кадрам, открытие формы","",""
"","10055","Открываю док.Корректировку долга > поле операция","","Wed Nov 13 02:45:50 GMT 2024","failed","Wed Nov 13 02:46:00 GMT 2024","","Док.Корректировка > Поле операция","",""
"","4061","спр.Центры сертификации","","Wed Nov 13 02:54:08 GMT 2024","passed","Wed Nov 13 02:54:12 GMT 2024","","спр.Центры сертификации","",""
"","11682","Заполнение справочника клиенты","","Wed Nov 13 02:35:58 GMT 2024","passed","Wed Nov 13 02:36:09 GMT 2024","","Док.Расходная накладная заполнение.","",""
"","13627","<описание сценария>","","Wed Nov 13 02:51:15 GMT 2024","failed","Wed Nov 13 02:51:28 GMT 2024","","СПР.ОУ создание элементов","",""
"","18749","Создание напоминания","","Wed Nov 13 02:36:32 GMT 2024","failed","Wed Nov 13 02:36:50 GMT 2024","","Тест справочник ИПА","",""
"","10277","Тест нажатия кнопки сформировать Рачётной ведомости","","Wed Nov 13 02:23:00 GMT 2024","failed","Wed Nov 13 02:23:10 GMT 2024","","Тест Расчётная ведомость, сформировать","",""
"","7967","Открытие формы списка справочника ""Графики работы"" (ГрафикиРаботы)","","Wed Nov 13 02:23:24 GMT 2024","failed","Wed Nov 13 02:23:32 GMT 2024","","Дымовые тесты - Справочники - ФормаСписка","",""
"","16872","Спр.Пользователи сервиса, создать элемент","","Wed Nov 13 02:52:02 GMT 2024","failed","Wed Nov 13 02:52:19 GMT 2024","","Спр.Пользователи сервиса, создать элемент","",""
"","1427","Тест формирования отчёта ""Отчёт ТП""","","Wed Nov 13 02:45:11 GMT 2024","passed","Wed Nov 13 02:45:12 GMT 2024","","Тест отчёт ТП, открытие формы, кнопка сформировать","",""
"","7907","Обр.Групповое начисление","","Wed Nov 13 02:36:52 GMT 2024","failed","Wed Nov 13 02:37:00 GMT 2024","","Обр.Групповое начисление","",""
"","15412","док.Табели, форма элемента","","Wed Nov 13 02:35:12 GMT 2024","failed","Wed Nov 13 02:35:27 GMT 2024","","док.Табели, форма списка, форма элемента","",""
"","6959","<описание сценария>","","Wed Nov 13 02:19:01 GMT 2024","failed","Wed Nov 13 02:19:08 GMT 2024","","Документы > Заявка сбктс > Долполнительно > групповое Редактирование","",""
"","2439","спр.Лаборатории","","Wed Nov 13 02:49:41 GMT 2024","passed","Wed Nov 13 02:49:44 GMT 2024","","спр.Лаборатории","",""
"","26101","док.Приём на работу, создать элемент","","Wed Nov 13 02:33:28 GMT 2024","failed","Wed Nov 13 02:33:54 GMT 2024","","док.Приём на работу","",""
"","2236","Док.Расход из кассы(На расходы) с контролем","","Wed Nov 13 02:34:01 GMT 2024","passed","Wed Nov 13 02:34:03 GMT 2024","","Док.Расход из кассы(На расходы) с контролем","",""
"","4327","док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","","Wed Nov 13 02:11:40 GMT 2024","failed","Wed Nov 13 02:11:44 GMT 2024","","Док.Заказы покупателей > Форма  списка > кнопка создать по шаблону","",""
"","1565","<описание сценария>","","Wed Nov 13 02:50:08 GMT 2024","passed","Wed Nov 13 02:50:10 GMT 2024","","Спр.Модели кузовов Создание элемента","",""
"","16230","док. документы по зарплате форма списка, тест кнопок создания на основании","","Wed Nov 13 02:14:13 GMT 2024","failed","Wed Nov 13 02:14:29 GMT 2024","","док.Документы по зарплате","",""
"","3044","док.Расход из кассы","","Wed Nov 13 02:33:56 GMT 2024","passed","Wed Nov 13 02:33:59 GMT 2024","","док.Расход из кассы(Зарплата сотруднику)","",""
"","10094","Запонение шапки","","Wed Nov 13 02:32:44 GMT 2024","failed","Wed Nov 13 02:32:54 GMT 2024","","Док.Отчёт Агента> создание","",""
"","8820","Создание заявки, отправка на печать","","Wed Nov 13 02:20:04 GMT 2024","failed","Wed Nov 13 02:20:13 GMT 2024","","Документы > Заявка сбктс > отправить на печать","",""
"","6571","тест фильтрации","","Wed Nov 13 02:32:14 GMT 2024","passed","Wed Nov 13 02:32:21 GMT 2024","","док. Зарплата платёжные ведомости","",""
"","11299","<описание сценария>","","Wed Nov 13 02:10:25 GMT 2024","failed","Wed Nov 13 02:10:36 GMT 2024","","Справочник ИПА","",""
"","1824","<описание сценария>","","Wed Nov 13 02:51:11 GMT 2024","passed","Wed Nov 13 02:51:13 GMT 2024","","Спр.Органы выдачи паспорта Создание","",""
"","12276","Тест выбора товара","","Wed Nov 13 02:31:17 GMT 2024","failed","Wed Nov 13 02:31:29 GMT 2024","","Док.Декларации Форма списка","",""
"","71017","Тест формирования отчёта ""оформленные ТПО Альянс брокер""","","Wed Nov 13 02:38:26 GMT 2024","passed","Wed Nov 13 02:39:37 GMT 2024","","Тест ""оформленные ТПО Альянс брокер"", открытие формы, кнопка сформировать","",""
"","5103","Запускаеим док. Счёт на полату, нажимаем кнопку создать копированием","","Wed Nov 13 02:18:51 GMT 2024","failed","Wed Nov 13 02:18:56 GMT 2024","","Документ счёт на оплату, форма списка","",""
"","155387","Тест формирования отчёта ""реестр Оформленных ТПО ООО Автоком ""","","Wed Nov 13 02:40:35 GMT 2024","passed","Wed Nov 13 02:43:11 GMT 2024","","Тест отчёт ""реестр Оформленных ТПО ООО Автоком ""","",""
"","14633","док.Поступление","","Wed Nov 13 02:32:56 GMT 2024","failed","Wed Nov 13 02:33:11 GMT 2024","","Док.Поступление в кассу","",""
"","6301","Док. Расход из кассы с контролем(Зарплата по ведомости)","","Wed Nov 13 02:16:46 GMT 2024","failed","Wed Nov 13 02:16:52 GMT 2024","","Док. Расход из кассы с контролем(Зарплата по ведомости)","",""
"","4167","Тест формирования отчёта ""Непроходные""","","Wed Nov 13 02:22:54 GMT 2024","failed","Wed Nov 13 02:22:58 GMT 2024","","Тест отчёт Непроходные, открытие формы","",""
"","11182","Открытие номенклатуры","","Wed Nov 13 02:22:31 GMT 2024","failed","Wed Nov 13 02:22:42 GMT 2024","","ТестКнопки ОбработкаГрупповоеНачислениеГрупповоеНачисление2","",""
"","2845","Док.Расход из кассы","","Wed Nov 13 02:28:29 GMT 2024","passed","Wed Nov 13 02:28:32 GMT 2024","","Док.Расход из кассы","",""
"","14772","Тест формирования отчёта ""оформленные ТПО""","","Wed Nov 13 02:39:39 GMT 2024","failed","Wed Nov 13 02:39:53 GMT 2024","","Тест оформленные ТПО, открытие формы, кнопка сформировать","",""
"","1703","Формирую отчёт сво всевозможными настройками","","Wed Nov 13 02:38:22 GMT 2024","passed","Wed Nov 13 02:38:24 GMT 2024","","Отчёт Себестоимость сотатков, все возможные кнопки","",""
"","9582","Добавить строку в тч Услуги документа отчёт агента","","Wed Nov 13 02:15:48 GMT 2024","failed","Wed Nov 13 02:15:57 GMT 2024","","Док.Отчёт Агента> тч. услуги> добавить строку","",""
"","5372","<описание сценария>","","Wed Nov 13 02:58:52 GMT 2024","passed","Wed Nov 13 02:58:58 GMT 2024","","Секция переменные","",""
"","5544","<описание сценария>","","Wed Nov 13 02:48:57 GMT 2024","passed","Wed Nov 13 02:49:02 GMT 2024","","Спр.Изготовители объектов учёта","",""
"","5158","Док.Заказ покупателя, нажать  тч. заполнить по остаткам","","Wed Nov 13 02:14:41 GMT 2024","failed","Wed Nov 13 02:14:46 GMT 2024","","Док.Заказ покупателя","",""
"","10213","открываю корректировку, нажимаю на поле покупатель","","Wed Nov 13 02:15:02 GMT 2024","failed","Wed Nov 13 02:15:12 GMT 2024","","Док.Корректировка долга> поле покупатель","",""
"","1217","Тест формирования отчёта ""Реестр ТПО""","","Wed Nov 13 02:43:12 GMT 2024","passed","Wed Nov 13 02:43:14 GMT 2024","","Тест ""Реестр ТПО"", открытие формы, кнопка сформировать","",""
"","8311","<описание сценария>","","Wed Nov 13 02:49:04 GMT 2024","passed","Wed Nov 13 02:49:13 GMT 2024","","Спр.Инспекторы создание элемента","",""
"","124164","<описание сценария>","","Wed Nov 13 02:56:46 GMT 2024","failed","Wed Nov 13 02:58:50 GMT 2024","","Сделать отбор по клиенту на форме списка справочника ИПА","",""
"","16098","нажатие всех кнопок в отчёте продажи по номенклатуре","","Wed Nov 13 02:39:55 GMT 2024","failed","Wed Nov 13 02:40:11 GMT 2024","","отчёт Продажи по номенклатуре","",""
"","17354","<описание сценария>","","Wed Nov 13 02:13:54 GMT 2024","failed","Wed Nov 13 02:14:11 GMT 2024","","док. Выпуск ГДТ > форма элемента создание.","",""
"","9152","Создание элемента СПР.транспорт","","Wed Nov 13 02:47:29 GMT 2024","failed","Wed Nov 13 02:47:38 GMT 2024","","Спр.Транспорт","",""
"","14912","нажимаю по очереди все рабочие кнопки","","Wed Nov 13 02:35:34 GMT 2024","failed","Wed Nov 13 02:35:48 GMT 2024","","док.ПриходнаяНакладная> форма списка > нажатие всех кнопок","",""
"","5212","<описание сценария>","","Wed Nov 13 02:35:50 GMT 2024","passed","Wed Nov 13 02:35:56 GMT 2024","","док. Приходная накладная Создание элемента","",""
"","1952","<описание сценария>","","Wed Nov 13 02:49:38 GMT 2024","passed","Wed Nov 13 02:49:40 GMT 2024","","Спр.Контракты Создание элемента","",""
"","18869","Создание заявки глонасс","","Wed Nov 13 02:36:11 GMT 2024","failed","Wed Nov 13 02:36:30 GMT 2024","","Документы > Заявка Глонасс > Создание","",""
"","8749","<описание сценария>","","Wed Nov 13 02:30:35 GMT 2024","failed","Wed Nov 13 02:30:43 GMT 2024","","Док.БанкИКасса подгруппа расход, тест кнопок на нажатие","",""
"","6309","<описание сценария>","","Wed Nov 13 02:23:12 GMT 2024","failed","Wed Nov 13 02:23:18 GMT 2024","","Тест повторного выбора из справочника ИПА","",""
"","14075","док.Табели, форма списка","","Wed Nov 13 02:34:56 GMT 2024","failed","Wed Nov 13 02:35:10 GMT 2024","","док.Табели, форма списка, форма элемента","",""
"","5586","Доку поступление в кассу ()","","Wed Nov 13 02:28:22 GMT 2024","failed","Wed Nov 13 02:28:27 GMT 2024","","Док.Поступление в кассу(Прочие поступления)","",""
"","16072","подсисистема клиет > дополнительные отчёты >  форма выбора","","Wed Nov 13 02:37:45 GMT 2024","failed","Wed Nov 13 02:38:01 GMT 2024","","подсисистема клиет > дополнительные отчёты >  форма выбора","",""
"","817","<описание сценария>","","Wed Nov 13 02:15:59 GMT 2024","passed","Wed Nov 13 02:16:00 GMT 2024","","док.ПриходнаяНакладная> форма списка > Кнопка возврат","",""
"","14605","нажимает все кнопки на форме списка справочника контрагенты","","Wed Nov 13 02:28:00 GMT 2024","failed","Wed Nov 13 02:28:15 GMT 2024","","Спр.Контрагенты > форма списка","",""
"","4277","отчёт реестр автоком, кнопка ""сформировать"", кнопка ""отправить""","","Wed Nov 13 02:40:29 GMT 2024","passed","Wed Nov 13 02:40:33 GMT 2024","","Тест отчёт Реестр Автоком","",""
"","10665","Док.Отчёт Агента, тест сумм","","Wed Nov 13 02:15:35 GMT 2024","failed","Wed Nov 13 02:15:46 GMT 2024","","Док.Отчёт Агента, тест сумм","",""
"","14147","<описание сценария>","","Wed Nov 13 02:53:30 GMT 2024","failed","Wed Nov 13 02:53:44 GMT 2024","","Спр.Реестры> форма списка > печать","",""
"","814","<описание сценария>","","Wed Nov 13 02:24:59 GMT 2024","passed","Wed Nov 13 02:25:00 GMT 2024","","Спр.Физ лица в работе , открыть форму спискп","",""
"","31484","<описание сценария>","","Wed Nov 13 02:30:01 GMT 2024","passed","Wed Nov 13 02:30:33 GMT 2024","","Док.БанкИКасса","",""
"","16153","открытие формы списка возврат товара","","Wed Nov 13 02:13:36 GMT 2024","failed","Wed Nov 13 02:13:52 GMT 2024","","Док. возврат товара > открыть форму списка","",""
