"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Док.Заказ покупателя","1","","0","0","Док.Заказ покупателя, нажать  тч. заполнить по остаткам","0"
"0","Док.Корректировка долга> поле покупатель","1","","0","0","открываю корректировку, нажимаю на поле покупатель","0"
"0","Тест ""Реестр ТПО"", открытие формы, кнопка сформировать","0","","1","0","Тест формирования отчёта ""Реестр ТПО""","0"
"0","Спр.Инспекторы создание элемента","0","","1","0","<описание сценария>","0"
"0","Сделать отбор по клиенту на форме списка справочника ИПА","1","","0","0","<описание сценария>","0"
"0","отчёт Продажи по номенклатуре","1","","0","0","нажатие всех кнопок в отчёте продажи по номенклатуре","0"
"0","док. Выпуск ГДТ > форма элемента создание.","1","","0","0","<описание сценария>","0"
"0","Спр.Транспорт","1","","0","0","Создание элемента СПР.транспорт","0"
"0","док.ПриходнаяНакладная> форма списка > нажатие всех кнопок","1","","0","0","нажимаю по очереди все рабочие кнопки","0"
"0","док. Приходная накладная Создание элемента","0","","1","0","<описание сценария>","0"
"0","Спр.Контракты Создание элемента","0","","1","0","<описание сценария>","0"
"0","Документы > Заявка Глонасс > Создание","1","","0","0","Создание заявки глонасс","0"
"0","Док.БанкИКасса подгруппа расход, тест кнопок на нажатие","1","","0","0","<описание сценария>","0"
"0","Тест повторного выбора из справочника ИПА","1","","0","0","<описание сценария>","0"
"0","док.Табели, форма списка, форма элемента","1","","0","0","док.Табели, форма списка","0"
"0","Док.Поступление в кассу(Прочие поступления)","1","","0","0","Доку поступление в кассу ()","0"
"0","подсисистема клиет > дополнительные отчёты >  форма выбора","1","","0","0","подсисистема клиет > дополнительные отчёты >  форма выбора","0"
"0","док.ПриходнаяНакладная> форма списка > Кнопка возврат","0","","1","0","<описание сценария>","0"
"0","Спр.Контрагенты > форма списка","1","","0","0","нажимает все кнопки на форме списка справочника контрагенты","0"
"0","Тест отчёт Реестр Автоком","0","","1","0","отчёт реестр автоком, кнопка ""сформировать"", кнопка ""отправить""","0"
"0","Док.Отчёт Агента, тест сумм","1","","0","0","Док.Отчёт Агента, тест сумм","0"
"0","Спр.Реестры> форма списка > печать","1","","0","0","<описание сценария>","0"
"0","Спр.Физ лица в работе , открыть форму спискп","0","","1","0","<описание сценария>","0"
"0","Док.БанкИКасса","0","","1","0","<описание сценария>","0"
"0","Док. возврат товара > открыть форму списка","1","","0","0","открытие формы списка возврат товара","0"
"0","док. Расходная накладная > форме элемента > тч. товары и услуги > Зполнить по резервам","1","","0","0","<описание сценария>","0"
"0","Постепление на счёт Форма списка, скопировать","1","","0","0","На форме списка Поступления на счёт нажимаю кнопку скопировать","0"
"0","Спр.Информация по авто  поле показать всё","0","","1","0","Ввод поля клиент при создании авто","0"
"0","Документы > Заявка сбктс > Долполнительно > Договр Выбрать","0","","1","0","<описание сценария>","0"
"0","Нажатие кнопки создатьн ачисление в справочнике информайция по авто","1","","0","0","Нажатие кнопки","0"
"0","док. Зарплата платёжные ведомости","1","","0","0","тест кнопок","0"
"0","Док.Поступление на счет, отбор","0","","1","0","док.Поступление на счёт, отбор","0"
"0","Открыть Отчёт Рачёты с подчиненными и сформировать","1","","0","0","Отчёт, расчёты с подчиненными, сформировать.","0"
"0","СПР.Поставщики паспортов","0","","1","0","<описание сценария>","0"
