"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","спр.ИПА Кнопка перейти в декларацию","0","","0","1","Нажать кнопку перейти в декларацию в справ. ИПА","0"
"0","Док.Отчёт Агента> создание","0","","0","1","Запонение шапки","0"
"0","спр.Центры сертификации","0","","0","1","спр.Центры сертификации","0"
"0","Док.БанкИКасса подгруппа расход, тест кнопок на нажатие","0","","0","1","<описание сценария>","0"
"0","док. Счёт на оплату> форма элемента> тест кнопок изменить","0","","0","1","Открытие","0"
"0","Создание Контрагента Через Информацию По Авто","0","","0","1","Создание контрагента","0"
"0","док.Документы по зарплате","0","","0","1","док. документы по зарплате форма списка, тест кнопок создания на основании","0"
"0","Тест всех кнопок вкладки Свойства Справочника ИПА","0","","0","1","<описание сценария>","0"
"0","Тест отчёт Выпуски инпекторов, сформировать","0","","0","1","Тест нажатия кнопки всех кнопочек отчёта Выпуски инпекторов","0"
"0","Открыть форму ""Ещё больше возможностей""","0","","0","1","Открыть форму ""Ещё больше возможностей""","0"
"0","Спр.Модели кузовов Создание элемента","0","","0","1","<описание сценария>","0"
"0","док. Зарплата платёжные ведомости","0","","0","1","тест кнопок","0"
"0","Спр. Номенклатура, форма списка, создать копированем","0","","0","1","<описание сценария>","0"
"0","Спр.Органы выдачи ПТС Создание элемента","0","","0","1","<описание сценария>","0"
"0","Тест Кнопки Создать Вложение в Справочнике ОУ","0","","0","1","","0"
"0","док.ПриходнаяНакладная> форма списка > Кнопка возврат","0","","0","1","<описание сценария>","0"
"0","Док.БанкИКасса создание послепления в кассу","0","","0","1","<описание сценария>","0"
"0","Док.Расход из кассы(На расходы) с контролем","0","","0","1","Док.Расход из кассы(На расходы) с контролем","0"
"0","Тест отчёт Реестр Автоком","0","","0","1","отчёт реестр автоком, кнопка ""сформировать"", кнопка ""отправить""","0"
"0","док. Расходная накладная > форме элемента > тч. товары и услуги > Зполнить по резервам","0","","0","1","<описание сценария>","0"
"0","СПР.ОУ создание элементов","0","","0","1","<описание сценария>","0"
"0","Справочник информация по авто > Форма элемента> ссылка на реестр","0","","0","1","открытие реестра через элемент справочника ИПА","0"
"0","СПР.СВХ создание","0","","0","1","Создать элемент СПР.СВХ","0"
"0","Док.Корректировка долга> поле покупатель","0","","0","1","открываю корректировку, нажимаю на поле покупатель","0"
"0","Док.Поступление в кассу","0","","0","1","док.Поступление","0"
"0","Тест Кнопки выбора Кузова элемента справочника ИПА","0","","0","1","Захожу в спавочник ИПА, нажимаю кнопку выбора кузова","0"
"0","Док.возвраты покупателей","0","","0","1","Док.возвраты покупателей, сложение сумм","0"
"0","спр.Статусы Информации по авто > создание элемента","0","","0","1","спр.Статусы Информации по авто > создание элемента","0"
"0","Спр.Пользователи сервиса, создать элемент","0","","0","1","Спр.Пользователи сервиса, создать элемент","0"
"0","Док.Заказы покупателей > Форма элемента > Возврат Поставщику","0","","0","1","<описание сценария>","0"
"0","Тест ""Реестр ТПО"", открытие формы, кнопка сформировать","0","","0","1","Тест формирования отчёта ""Реестр ТПО""","0"
"0","док. Счёт на оплату> форма элемента> заполнение поля клиент","0","","0","1","Открытиен элемента счёт на оплату, заполнение поля клиентянянян","0"
"0","Док.Расходная накладная заполнение.","0","","0","1","Заполнение справочника клиенты","0"
"0","отчёт Продажи по номенклатуре","0","","0","1","нажатие всех кнопок в отчёте продажи по номенклатуре","0"
"0","<описание фичи>","0","","0","1","<описание сценария>","0"
"0","док. Приходная накладная форма элемента","0","","0","1","<описание сценария>","0"
"0","Спр. Контрагенты> кнопка телефонный звонок","0","","0","1","<описание сценария>","0"
"0","Документы > Заявка сбктс > Долполнительно > групповое Редактирование","0","","0","1","<описание сценария>","0"
"0","Тест Расчётная ведомость, сформировать","0","","0","1","Тест нажатия кнопки сформировать Рачётной ведомости","0"
"0","Спр.Инспекторы создание элемента","0","","0","1","<описание сценария>","0"
"0","Докуменит.Выпуск ГДТ","0","","0","1","<описание сценария>","0"
"0","Обработка Заполнение пропусков","0","","0","1","заполнение пропуска на сайте","0"
"0","док.Табели, форма списка, форма элемента","0","","0","1","док.Табели, форма списка","0"
"0","Спр.реестры Форма элемента, печать","0","","0","1","<описание сценария>","0"
"0","Спр.Контрагенты > форма списка","0","","0","1","нажимает все кнопки на форме списка справочника контрагенты","0"
"0","Док.Список > Форма спискка","0","","0","1","<описание сценария>","0"
"0","Спр.Информация по авто  поле показать всё","0","","0","1","Ввод поля клиент при создании авто","0"
"0","Док.Заказ покупателя","0","","0","1","Док.Заказ покупателя, нажать печать","0"
"0","Спр.Физ лица в работе , открыть форму спискп","0","","0","1","<описание сценария>","0"
"0","Документы > Заявка Глонасс > Создание","0","","0","1","Создание заявки глонасс","0"
"0","Документы > Заявка сбктс > создание и заполнение","0","","0","1","Создание заявки, проведение, отмена проведения","0"
"0","подсисистема клиент > Отчёт Взаимозачёты","0","","0","1","подсисистема клиет > отчёты, Взаимозачёты","0"
"0","Тест ""Реестр ТПО(ТП Бухгалтерия)"", открытие формы, кнопка сформировать, кнопка отправить","0","","0","1","Тест формирования отчёта ""Реестр ТПО(ТП Бухгалтерия)""","0"
"0","Спр.Классификаторы ТН Вэд, создание","0","","0","1","<описание сценария>","0"
"0","Обработка.Обмен с банком","0","","0","1","Обработка.Обмен с банком","0"
"0","Док.Перемещение денежных средств","0","","0","1","Док.Перемещение","0"
"0","док. Счёт на оплату> форма элемента> тест кнопок изменить","0","","0","1","Открытие элемента счёт на оплату, переход к кнопке изменить>  установить цены по виду","0"
"0","Спр.Порталы","0","","0","1","<описание сценария>","0"
"0","Спр.Контракты Создание элемента","0","","0","1","<описание сценария>","0"
"0","Док.Декларации Форма списка","0","","0","1","Тест выбора товара","0"
"0","Спр.Брокеры форма элемента","0","","0","1","<описание сценария>","0"
"0","Док.БанкИКасса","0","","0","1","<описание сценария>","0"
"0","док.декларация> создание элемента","0","","0","1","открытие док. декларация > создание элемента","0"
"0","Секция переменные","0","","0","1","<описание сценария>","0"
"0","Док.Расход из кассы","0","","0","1","Док.Расход из кассы","0"
"0","Отчёт Доходы и Расходы","0","","0","1","открываю отчёт Доходы и расходы, нажимаю сформировать","0"
"0","Сделать отбор по клиенту на форме списка справочника ИПА","0","","0","1","<описание сценария>","0"
"0","СПР.Поставщики паспортов","0","","0","1","<описание сценария>","0"
"0","Док. расходная Накладная >  кнопка Заполнить на основании","0","","0","1","<описание сценария>","0"
"0","Док.Расходная накладная Создать на основании","0","","0","1","<описание сценария>","0"
"0","Док.Корректировка > Поле операция","0","","0","1","Открываю док.Корректировку долга > поле операция","0"
"0","док.Приём на работу","0","","0","1","док.Приём на работу, создать элемент","0"
"0","Тест Кнопки Создать ТС в Справочнике ОУ","0","","0","1","<описание сценария>","0"
"0","Тест оформленные ТПО, открытие формы, кнопка сформировать","0","","0","1","Тест формирования отчёта ""оформленные ТПО""","0"
"0","Тест отчёт Непроходные, открытие формы","0","","0","1","Тест формирования отчёта ""Непроходные""","0"
"0","Спр.Транспорт","0","","0","1","Создание элемента СПР.транспорт","0"
"0","Подсистема клиенты> Все отчёты > форма","0","","0","1","Подсистема клиенты> Все отчёты > форма выбора отчётов","0"
"0","Документ счёт на оплату, форма списка","0","","0","1","Запускаеим док. Счёт на полату, нажимаем кнопку создать копированием","0"
"0","Тест отчёт ""реестр Оформленных ТПО ООО Автоком ""","0","","0","1","Тест формирования отчёта ""реестр Оформленных ТПО ООО Автоком ""","0"
"0","док.ПриходнаяНакладная> форма списка > нажатие всех кнопок","0","","0","1","нажимаю по очереди все рабочие кнопки","0"
"0","Проверка подбора физ лица","0","","0","1","<описание сценария>","0"
"0","Документы > Заявка сбктс > Долполнительно > Договр Выбрать","0","","0","1","<описание сценария>","0"
"0","ТестКнопки ОбработкаГрупповоеНачислениеГрупповоеНачисление2","0","","0","1","Открытие номенклатуры","0"
"0","спр.Марки ОУ создание","0","","0","1","<описание сценария>","0"
"0","Тест Конпки Создать рассылку отчётов","0","","0","1","Создание статуса Авто","0"
"0","Док.расход со счёта форма списка, фильтрация","0","","0","1","Док.расход со счёта форма списка, фильтрация","0"
"0","Док. Реестры","0","","0","1","<описание сценария>","0"
"0","док.Расход из кассы","0","","0","1","док.Расход из кассы","0"
"0","док. Документы по кадрам, открытие формы","0","","0","1","док.Документы по кадрам открытие формы","0"
"0","Отчёты (Вхаиморасчёты с клиентами)","0","","0","1","<описание сценария>","0"
"0","подсисистема клиет > дополнительные отчёты >  форма выбора","0","","0","1","подсисистема клиет > дополнительные отчёты >  форма выбора","0"
"0","спр.Грузополучатели > создать и заполнитьэлемент","0","","0","1","<описание сценария>","0"
"0","Док.Заказ покупателя","0","","0","1","Док.Заказ покупателя, нажать  тч. заполнить по остаткам","0"
"0","Элемент справочник информация по авто > кнопка Оплатить","0","","0","1","Прикрепление фаила","0"
"0","Постепление на счёт Форма списка, скопировать","0","","0","1","На форме списка Поступления на счёт нажимаю кнопку скопировать","0"
"0","док.Расход из кассы(подотчётнику) с контролем","0","","0","1","док.Расход из кассы(подотчётнику) с контролем","0"
"0","Док.Корректировка долга> Кнопка заполнить на основании","0","","0","1","открываю корректировку, нажимаю на поле покупатель","0"
"0","Отчёт Расход денег","0","","0","1","Подсистема финансы> Денежные средства> Сформировать отчёт","0"
"0","Отчёт Себестоимость сотатков, все возможные кнопки","0","","0","1","Формирую отчёт сво всевозможными настройками","0"
"0","Переход в справочник контрагенты и открытие счёта учёта","0","","0","1","Открыть счёт учёта","0"
"0","Док.Поступление на счёт форма списка","0","","0","1","Док.Поступление на счёт форма списка, конпка сформировать отчет","0"
"0","Док.Поступление на счёт форма списка","0","","0","1","Док.Поступление на счёт форма списка, фильтрация","0"
"0","Док.Расходная накладная","0","","0","1","<описание сценария>","0"
"0","Док. возврат товара > открыть форму списка","0","","0","1","открытие формы списка возврат товара","0"
"0","док. Зарплата платёжные ведомости","0","","0","1","тест фильтрации","0"
"0","Док. Расход из кассы с контролем(Зарплата по ведомости)","0","","0","1","Док. Расход из кассы с контролем(Зарплата по ведомости)","0"
"0","док.Групповое поступление","0","","0","1","открыть групповое поступление, проверить кнопки подгруппы изменить","0"
"0","Тест создания элемента","0","","0","1","<описание сценария>","0"
"0","Спр.ОУ тест фильтрации","0","","0","1","<описание сценария>","0"
"0","Тест Конпки Создать рассылку отчётов","0","","0","1","<описание сценария>","0"
"0","Спраочник Виды начислений и удержаний","0","","0","1","тест Спр.Виды начислений и удержаний","0"
"0","Док.Заказ поставщику","0","","0","1","Док.Заказ поставщику, создание элемента","0"
"0","Тест справочник ИПА","0","","0","1","Создание напоминания","0"
"0","Док. Приходная накладная > Печать > Приходная накладная(в розничных ценах)","0","","0","1","<описание сценария>","0"
"0","док. Приходная накладная Создание элемента","0","","0","1","<описание сценария>","0"
"0","Док. Расход со счёта, форма списка","0","","0","1","Док. Расход со счёта, форма списка, кнопки ""создать копированием"",""Заполнение"", ""Отчёты""","0"
"0","Отчёт ""Долги""","0","","0","1","<описание сценария>","0"
"0","Дымовые тесты - Справочники - ФормаСписка","0","","0","1","Открытие формы списка справочника ""Графики работы"" (ГрафикиРаботы)","0"
"0","спр.Номенклатура > Создать расходную накладную","0","","0","1","открыть спр.номенклатура, создать расходную накладную","0"
"0","спр.Лаборатории","0","","0","1","спр.Лаборатории","0"
"0","Док.Поступление в кассу(Прочие поступления)","0","","0","1","Доку поступление в кассу ()","0"
