"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 00:05:28 GMT 2024","Thu Sep 05 00:05:29 GMT 2024","451","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Загрузка данных"" (ЗагрузкаДанных)",""
"passed","Thu Sep 05 00:05:23 GMT 2024","Thu Sep 05 00:05:24 GMT 2024","451","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Создание города"" (СозданиеГорода)",""
"failed","Thu Sep 05 00:04:30 GMT 2024","Thu Sep 05 00:04:34 GMT 2024","4016","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Города"" (Города)",""
"passed","Thu Sep 05 04:39:54 GMT 2024","Thu Sep 05 04:39:54 GMT 2024","36","step_definitions","test_get_employee_data","","","","test_get_all_user_data","/home/runner/work/github-action-with-allure-report/github-action-with-allure-report/tests/features/get_user_data.feature: Get all user data"
"passed","Thu Sep 05 00:04:19 GMT 2024","Thu Sep 05 00:04:21 GMT 2024","1616","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Контрагенты"" (Контрагенты)",""
"failed","Thu Sep 05 00:05:41 GMT 2024","Thu Sep 05 00:05:47 GMT 2024","6109","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Наличие модальности"" (НаличиеМодальности)",""
"passed","Thu Sep 05 00:05:29 GMT 2024","Thu Sep 05 00:05:30 GMT 2024","447","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Работа с историей филиала"" (РаботаСИсториейФилиала)",""
"passed","Thu Sep 05 00:05:05 GMT 2024","Thu Sep 05 00:05:05 GMT 2024","507","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Снятие с заказа"" (СнятиеСЗаказа)",""
"passed","Thu Sep 05 00:05:28 GMT 2024","Thu Sep 05 00:05:28 GMT 2024","455","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Работа с документом приходная накладная"" (РаботаСДокументомПриходнаяНакладная)",""
"passed","Thu Sep 05 00:04:11 GMT 2024","Thu Sep 05 00:04:14 GMT 2024","2836","","Дымовые тесты - Справочники - Запись","","","","Запись элемента группы справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:04:03 GMT 2024","Thu Sep 05 00:04:04 GMT 2024","487","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:05:18 GMT 2024","Thu Sep 05 00:05:18 GMT 2024","474","","Дымовые тесты - Журналы документов - ФормаОбъекта","","","","Открытие формы журнала документов ""Журнал документы формирования цен"" (ЖурналДокументыФормированияЦен)",""
"passed","Thu Sep 05 00:04:02 GMT 2024","Thu Sep 05 00:04:03 GMT 2024","460","","Дымовые тесты - Справочники - ФормаОбъекта","","","","Открытие формы справочника ""Затраты"" (Затраты)",""
"passed","Thu Sep 05 00:04:59 GMT 2024","Thu Sep 05 00:05:01 GMT 2024","1881","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Расходная накладная"" (РасходнаяНакладная)",""
"passed","Thu Sep 05 00:04:22 GMT 2024","Thu Sep 05 00:04:24 GMT 2024","1751","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Юридические лица"" (ЮридическиеЛица)",""
"passed","Thu Sep 05 00:04:48 GMT 2024","Thu Sep 05 00:04:48 GMT 2024","488","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Уценка товара"" (УценкаТовара)",""
"failed","Thu Sep 05 00:05:33 GMT 2024","Thu Sep 05 00:05:38 GMT 2024","4615","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Консоль запросов"" (КонсольЗапросов)",""
"passed","Thu Sep 05 00:04:44 GMT 2024","Thu Sep 05 00:04:44 GMT 2024","584","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Банковские счета"" (БанковскиеСчета)",""
"passed","Thu Sep 05 00:04:43 GMT 2024","Thu Sep 05 00:04:44 GMT 2024","702","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Юридические лица"" (ЮридическиеЛица)",""
"passed","Thu Sep 05 00:04:24 GMT 2024","Thu Sep 05 00:04:26 GMT 2024","1830","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Банковские счета"" (БанковскиеСчета)",""
"passed","Wed Sep 04 23:15:56 GMT 2024","Wed Sep 04 23:16:01 GMT 2024","4144","","Проверка Справочников на Создание","","","","очень важное описание",""
"passed","Thu Sep 05 00:05:14 GMT 2024","Thu Sep 05 00:05:14 GMT 2024","485","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа """" (Документ1)",""
"passed","Thu Sep 05 00:05:17 GMT 2024","Thu Sep 05 00:05:17 GMT 2024","588","","Дымовые тесты - Планы видов характеристик - Копирование","","","","Копирование элемента плана видов характеристик ""Дополнительные свойства товара"" (ДополнительныеСвойстваТовара)",""
"passed","Thu Sep 05 00:04:00 GMT 2024","Thu Sep 05 00:04:01 GMT 2024","506","","Дымовые тесты - Справочники - ФормаСписка","","","","Открытие формы списка справочника ""Склады"" (Склады)",""
"passed","Thu Sep 05 00:04:36 GMT 2024","Thu Sep 05 00:04:37 GMT 2024","1027","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента группы справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:04:46 GMT 2024","Thu Sep 05 00:04:46 GMT 2024","568","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Классификатор свойств товара"" (КлассификаторСвойствТовара)",""
"passed","Thu Sep 05 00:05:29 GMT 2024","Thu Sep 05 00:05:29 GMT 2024","455","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Работа с витриной"" (РаботаСВитриной)",""
"passed","Thu Sep 05 00:05:40 GMT 2024","Thu Sep 05 00:05:40 GMT 2024","454","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Программное создание элементов"" (ПрограммноеСозданиеЭлементов)",""
"passed","Thu Sep 05 00:04:55 GMT 2024","Thu Sep 05 00:04:57 GMT 2024","1725","","Дымовые тесты - Документы - Запись","","","","Запись элемента документа ""Установка цен номенклатуры"" (УстановкаЦенНоменклатуры)",""
"passed","Thu Sep 05 00:05:22 GMT 2024","Thu Sep 05 00:05:23 GMT 2024","618","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Переполненный отчет"" (ПереполненныйОтчет)",""
"passed","Thu Sep 05 00:04:47 GMT 2024","Thu Sep 05 00:04:47 GMT 2024","474","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Установка цен номенклатуры"" (УстановкаЦенНоменклатуры)",""
"passed","Thu Sep 05 00:04:49 GMT 2024","Thu Sep 05 00:04:50 GMT 2024","608","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Заказ поставщику"" (ЗаказПоставщику)",""
"passed","Thu Sep 05 00:05:39 GMT 2024","Thu Sep 05 00:05:40 GMT 2024","638","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Работа с менеджером временных таблиц"" (РаботаСМенеджеромВременныхТаблиц)",""
"passed","Thu Sep 05 00:05:19 GMT 2024","Thu Sep 05 00:05:20 GMT 2024","461","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Отчет по продажам по городу и филиалу"" (ОтчетПоПродажамПоГородуИФилиалу)",""
"passed","Thu Sep 05 00:05:25 GMT 2024","Thu Sep 05 00:05:25 GMT 2024","449","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Заполнение справочника затраты"" (ЗаполнениеСправочникаЗатраты)",""
"passed","Thu Sep 05 00:05:30 GMT 2024","Thu Sep 05 00:05:31 GMT 2024","459","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Отбор по истории филиалов"" (ОтборПоИсторииФилиалов)",""
"passed","Thu Sep 05 00:05:15 GMT 2024","Thu Sep 05 00:05:17 GMT 2024","1152","","Дымовые тесты - Планы видов характеристик - Запись","","","","Запись элемента плана видов характеристик ""Дополнительные свойства товара"" (ДополнительныеСвойстваТовара)",""
"passed","Thu Sep 05 00:05:14 GMT 2024","Thu Sep 05 00:05:15 GMT 2024","867","","Дымовые тесты - Документы - ВводНаОсновании","","","","ВводНаОсновании элемента документа ""Приходная накладная"" (ПриходнаяНакладная)",""
"passed","Thu Sep 05 00:05:20 GMT 2024","Thu Sep 05 00:05:21 GMT 2024","477","","Дымовые тесты - Отчеты - ФормаОбъекта","","","","Открытие формы отчета ""Отчет по продажам по городу и филиалу с расшифровкой"" (ОтчетПоПродажамПоГородуИФилиалуСРасшифровкой)",""
"passed","Thu Sep 05 00:05:31 GMT 2024","Thu Sep 05 00:05:31 GMT 2024","429","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Производственный календарь"" (ПроизводственныйКалендарь)",""
"passed","Thu Sep 05 00:04:34 GMT 2024","Thu Sep 05 00:04:35 GMT 2024","703","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента группы справочника ""Затраты"" (Затраты)",""
"passed","Thu Sep 05 00:05:49 GMT 2024","Thu Sep 05 00:05:50 GMT 2024","479","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Перемещение товара на филиал"" (ПеремещениеТовараНаФилиал)",""
"passed","Thu Sep 05 00:05:07 GMT 2024","Thu Sep 05 00:05:08 GMT 2024","627","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Приходная накладная"" (ПриходнаяНакладная)",""
"passed","Thu Sep 05 00:05:26 GMT 2024","Thu Sep 05 00:05:27 GMT 2024","445","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Генерация тестовой номенклатуры"" (ГенерацияТестовойНоменклатуры)",""
"failed","Thu Sep 05 00:04:37 GMT 2024","Thu Sep 05 00:04:40 GMT 2024","2538","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:05:48 GMT 2024","Thu Sep 05 00:05:48 GMT 2024","467","","Дымовые тесты - Обработки - ФормаОбъекта","","","","Открытие формы обработки ""Указание минимального остатка"" (УказаниеМинимальногоОстатка)",""
"passed","Thu Sep 05 00:05:12 GMT 2024","Thu Sep 05 00:05:12 GMT 2024","612","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Заказ поставщику"" (ЗаказПоставщику)",""
"passed","Thu Sep 05 00:04:17 GMT 2024","Thu Sep 05 00:04:19 GMT 2024","1752","","Дымовые тесты - Справочники - Запись","","","","Запись элемента справочника ""Сотрудники"" (Сотрудники)",""
"passed","Thu Sep 05 00:05:18 GMT 2024","Thu Sep 05 00:05:19 GMT 2024","509","","Дымовые тесты - Журналы документов - ФормаОбъекта","","","","Открытие формы журнала документов ""Журнал документы продажи"" (ЖурналДокументыПродажи)",""
"passed","Thu Sep 05 00:03:52 GMT 2024","Thu Sep 05 00:04:00 GMT 2024","8319","","Дымовые тесты - Справочники - ФормаСписка","","","","Открытие формы списка справочника ""Номенклатура"" (Номенклатура)",""
"passed","Thu Sep 05 00:05:10 GMT 2024","Thu Sep 05 00:05:11 GMT 2024","606","","Дымовые тесты - Документы - Копирование","","","","Копирование элемента документа ""Расходная накладная"" (РасходнаяНакладная)",""
"passed","Thu Sep 05 00:04:48 GMT 2024","Thu Sep 05 00:04:49 GMT 2024","472","","Дымовые тесты - Документы - ФормаОбъекта","","","","Открытие формы документа ""Расходная накладная"" (РасходнаяНакладная)",""
"passed","Thu Sep 05 00:04:41 GMT 2024","Thu Sep 05 00:04:41 GMT 2024","564","","Дымовые тесты - Справочники - Копирование","","","","Копирование элемента справочника ""Сотрудники"" (Сотрудники)",""
